MLB Team,City,Team Revenue (in millions),City Population Estimate,Median Household Income (City),Metropolitan Area,Metropolitan Population Estimate,Median Household Income (Metro Area),NFL Team(s),NBA Team(s),NHL Team(s),MLS Team(s),MiLB Team(s),AAA,AA,A,NFL Count,NBA Count,NHL Count,MLS Count
Arizona Diamondbacks,"Phoenix, AZ",314000000,1608139,79664,"Phoenix-Mesa-Chandler, AZ",5070110,85700,Arizona Cardinals,Phoenix Suns,Arizona Coyotes,Phoenix Rising FC,None,0,0,0,1,1,1,1
Atlanta Braves,"Atlanta, GA",473000000,498715,85880,"Atlanta-Sandy Springs-Roswell, GA",6307261,86505,Atlanta Falcons,Atlanta Hawks,0,Atlanta United FC,"Gwinnett Stripers (Triple-A), Rome Braves (High-A)",1,0,1,1,1,0,1
Baltimore Orioles,"Baltimore, MD",328000000,576498,59579,"Baltimore-Columbia-Towson, MD",2834316,86443,Baltimore Ravens,0,0,0,"Bowie Baysox (Double-A), Aberdeen IronBirds (High-A)",0,1,1,1,0,0,0
Boston Red Sox,"Boston, MA",500000000,654776,96931,"Boston-Cambridge-Newton, MA-NH",4919179,110697,New England Patriots,Boston Celtics,Boston Bruins,New England Revolution,Worcester Red Sox (Triple-A),1,0,0,1,1,1,1
Chicago Cubs,"Chicago, IL",506000000,2746388,74747,"Chicago-Naperville-Elgin, IL-IN-WI",9262825,87071,Chicago Bears,Chicago Bulls,Chicago Blackhawks,Chicago Fire FC,"Chicago Dogs (Independent), Kane County Cougars (Independent)",0,0,0,1,1,1,1
Chicago White Sox,"Chicago, IL",288000000,2746388,74747,"Chicago-Naperville-Elgin, IL-IN-WI",9262825,87071,Chicago Bears,Chicago Bulls,Chicago Blackhawks,Chicago Fire FC,"Chicago Dogs (Independent), Kane County Cougars (Independent)",0,0,0,1,1,1,1
Cincinnati Reds,"Cincinnati, OH",315000000,309317,54314,"Cincinnati, OH-KY-IN",2271479,77844,Cincinnati Bengals,0,0,FC Cincinnati,"Dayton Dragons (High-A), Florence Y'alls (Independent)",0,0,1,1,0,0,1
Cleveland Guardians,"Cleveland, OH",315000000,372624,39041,"Cleveland-Elyria, OH",2158932,66481,Cleveland Browns,Cleveland Cavaliers,0,0,"Akron RubberDucks (Double-A), Lake County Captains (High-A)",0,1,1,1,1,0,0
Colorado Rockies,"Denver, CO",313000000,749103,94157,"Denver-Aurora-Lakewood, CO",3005131,103055,Denver Broncos,Denver Nuggets,Colorado Avalanche,Colorado Rapids,Rocky Mountain Vibes (Independent),0,0,0,1,1,1,1
Detroit Tigers,"Detroit, MI",306000000,632464,38080,"Detroit-Warren-Dearborn, MI",4342304,72574,Detroit Lions,Detroit Pistons,Detroit Red Wings,0,"Toledo Mud Hens (Triple-A), West Michigan Whitecaps (High-A)",1,0,1,1,1,1,0
Houston Astros,"Houston, TX",445000000,2304580,60440,"Houston-The Woodlands-Sugar Land, TX",7510253,79463,Houston Texans,Houston Rockets,0,Houston Dynamo FC,Sugar Land Space Cowboys (Triple-A),1,0,0,1,1,0,1
Kansas City Royals,"Kansas City, MO",302000000,508090,65225,"Kansas City, MO-KS",2221343,79842,Kansas City Chiefs,0,0,Sporting Kansas City,Kansas City Monarchs (Independent),0,0,0,1,0,0,1
Los Angeles Angels,"Anaheim, CA",388000000,349366,84872,"Los Angeles-Long Beach-Anaheim, CA",12799100,91960,"Los Angeles Rams, Los Angeles Chargers","Los Angeles Lakers, Los Angeles Clippers","Los Angeles Kings, Anaheim Ducks","Los Angeles Galaxy, Los Angeles FC","Rancho Cucamonga Quakes (Single-A), Inland Empire 66ers (Single-A)",0,0,2,2,2,2,2
Los Angeles Dodgers,"Los Angeles, CA",549000000,3898747,76244,"Los Angeles-Long Beach-Anaheim, CA",12799100,91960,"Los Angeles Rams, Los Angeles Chargers","Los Angeles Lakers, Los Angeles Clippers","Los Angeles Kings, Anaheim Ducks","Los Angeles Galaxy, Los Angeles FC","Rancho Cucamonga Quakes (Single-A), Inland Empire 66ers (Single-A)",0,0,2,2,2,2,2
Miami Marlins,"Miami, FL",295000000,442241,68635,"Miami-Fort Lauderdale-Pompano Beach, FL",6183199,76271,Miami Dolphins,Miami Heat,Florida Panthers,Inter Miami CF,"Jupiter Hammerheads (Single-A), Palm Beach Cardinals (Single-A)",0,0,2,1,1,1,1
Milwaukee Brewers,"Milwaukee, WI",320000000,577222,52992,"Milwaukee-Waukesha, WI",1560424,77006,0,Milwaukee Bucks,0,0,"Wisconsin Timber Rattlers (High-A), Milwaukee Milkmen (Independent)",0,0,1,0,1,0,0
