City,MiLB Team(s),AAA,AA,A,State,City Population Estimate,Metropolitan Area,Metropolitan Population Estimate,Median Household Income (City),NFL Team(s),MLB Team(s),NBA Team(s),NHL Team(s),NFL Count,MLB Count,NBA Count,NHL Count,MLS Count,MLS team(s),total_Pro_league
Buffalo,Buffalo Bisons,1.0,0.0,0.0,New York,258066.0,"Buffalo-Cheektowaga, NY",1125637.0,39677.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Charlotte,Charlotte Knights,1.0,0.0,0.0,North Carolina,827121.0,"Charlotte-Concord-Gastonia, NC-SC",2728933.0,65359.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Columbus,Columbus Clippers,1.0,0.0,0.0,Ohio,849067.0,"Columbus, OH",2138926.0,54902.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,Columbus Crew SC,1.0
Columbus,Columbus Clingstones,0.0,1.0,0.0,Ohio,849067.0,"Columbus, OH",2138926.0,54902.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,Columbus Crew SC,1.0
Durham,Durham Bulls,1.0,0.0,0.0,North Carolina,257598.0,"Durham-Chapel Hill, NC",644367.0,65534.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Lawrenceville,Gwinnett Stripers,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Indianapolis,Indianapolis Indians,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Des Moines,Iowa Cubs,1.0,0.0,0.0,Iowa,210317.0,"Des Moines-West Des Moines, IA",707915.0,60000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Jacksonville,Jacksonville Jumbo Shrimp,1.0,0.0,0.0,Florida,868031.0,"Jacksonville, FL",1713240.0,73194.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Allentown,Lehigh Valley IronPigs,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Louisville,Louisville Bats,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Memphis,Memphis Redbirds,1.0,0.0,0.0,Tennessee,655760.0,"Memphis, TN-MS-AR",1346045.0,41228.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Nashville,Nashville Sounds,1.0,0.0,0.0,Tennessee,654596.0,"Nashville-Davidson--Murfreesboro--Franklin, TN",2012476.0,60000.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,Nashville SC,1.0
Norfolk,Norfolk Tides,1.0,0.0,0.0,Virginia,246393.0,"Virginia Beach-Norfolk-Newport News, VA-NC",1799674.0,51590.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Papillion,Omaha Storm Chasers,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Rochester,Rochester Red Wings,1.0,0.0,0.0,Minnesota,112216.0,"Rochester, MN",226329.0,73106.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Moosic,Scranton/Wilkes-Barre RailRiders,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Minneapolis–St. Paul,St. Paul Saints,1.0,0.0,0.0,Minnesota,2906807.0,"Minneapolis–St. Paul–Bloomington, MN-WI",3712020.0,93662.0,Minnesota Vikings (Minneapolis),Minnesota Twins (Minneapolis),Minnesota Timberwolves (Minneapolis),Minnesota Wild (St. Paul),1.0,1.0,1.0,1.0,0.0,0,4.0
Syracuse,Syracuse Mets,1.0,0.0,0.0,New York,144152.0,"Syracuse, NY",662577.0,38276.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Toledo,Toledo Mud Hens,1.0,0.0,0.0,Ohio,279778.0,"Toledo, OH",606327.0,42602.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Worcester,Worcester Red Sox,1.0,0.0,0.0,Massachusetts,184806.0,"Worcester, MA-CT",947404.0,65000.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Albuquerque,Albuquerque Isotopes,1.0,0.0,0.0,New Mexico,559131.0,"Albuquerque, NM",918018.0,53936.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
